,CityName,Clouds,Counter,CountryCode,Humidity,Latitude,Longitude,Temperature,WindSpeed
0,khatanga,64,1,ru,86,88.1038,98.137,50.16,21.5
1,thompson,75,2,ca,47,63.6157,-92.4111,75.2,6.93
2,primorsko-akhtarsk,0,3,ru,79,45.9962,37.8597,75.0,10.65
3,domoni,0,4,km,0,-10.847,45.9722,0.0,0.0
4,mogadishu,12,5,so,99,-1.4965,48.786,78.78,16.69
5,tsienyane,0,6,bw,0,-20.726,24.4049,0.0,0.0
6,albany,90,7,au,53,-62.7377,108.0203,73.4,5.82
7,baykit,0,8,ru,96,64.4061,95.4,57.09,2.93
8,atuona,20,9,pf,100,-3.4233,-136.6887,80.4,11.21
9,jamestown,0,10,sh,69,-21.7563,0.8611,25.86,1.25
10,talnakh,12,11,ru,66,78.9953,88.4205,59.79,4.16
11,vaini,92,12,to,98,-67.4418,-176.5133,68.61,3.49
12,kapaa,75,13,us,83,21.3691,-159.0591,80.6,5.82
13,kemijarvi,0,14,fi,0,67.2565,26.8207,0.0,0.0
14,samdari,0,15,in,44,25.906,72.9566,86.88,9.08
15,saint-philippe,1,16,re,47,-61.6085,71.0451,78.8,18.34
16,ushuaia,75,17,ar,74,-86.5922,-29.4379,35.6,14.99
17,chihuahua,5,18,mx,16,29.5872,-106.4205,96.8,11.41
18,vila,0,19,vu,42,-15.3602,173.1551,82.4,5.82
19,bambous virieux,40,20,mu,88,-30.1882,77.5161,71.6,5.28
20,mar del plata,0,21,ar,52,-62.43,-32.824,52.14,24.74
21,busselton,88,22,au,100,-53.8395,92.3112,60.87,7.74
22,bluff,36,23,nz,89,-84.6725,154.3732,39.9,2.82
23,thinadhoo,12,24,mv,100,-0.7789,66.66,80.94,2.93
24,nyurba,0,25,ru,79,64.7414,117.459,56.01,6.62
25,tiksi,48,26,ru,72,84.5779,126.2761,54.3,3.71
26,bac lieu,0,27,vn,0,6.572,107.2636,0.0,0.0
27,ngukurr,0,28,au,0,-15.0387,135.6864,0.0,0.0
28,lokosovo,44,29,ru,66,59.7715,74.1539,59.7,14.34
29,qaanaaq,68,30,gl,98,78.8939,-89.9072,31.98,3.6
30,kieta,68,31,pg,100,-1.2016,159.1743,79.23,2.15
31,lebu,0,32,cl,85,-35.3774,-81.7064,45.21,1.7
32,gamba,76,33,ga,95,-8.5902,3.1101,31.26,2.26
33,mardin,0,34,tr,28,37.1845,40.5783,80.6,4.7
34,tessalit,0,35,ml,12,21.1444,3.9804,92.1,9.98
35,nikolskoye,20,36,ru,38,41.0353,173.0267,59.0,13.42
36,barentsburg,0,37,sj,0,83.3628,1.493,0.0,0.0
37,beloha,20,38,mg,81,-31.3296,42.8266,57.81,3.71
38,broken hill,0,39,au,73,-27.7151,143.4928,28.47,2.93
39,mataura,0,40,pf,77,-86.2986,-152.7365,24.33,2.37
40,punta arenas,75,41,cl,64,-64.9314,-106.3824,37.4,28.86
41,rikitea,44,42,pf,100,-38.2846,-128.2317,72.03,7.74
42,sterling,75,43,us,61,60.5977,-150.8373,84.2,4.7
43,hermanus,0,44,za,90,-70.9706,6.592,36.75,2.15
44,kualakapuas,80,45,id,99,-3.4498,113.7065,75.81,3.27
45,butaritari,76,46,ki,100,24.0206,175.9043,84.18,8.63
46,necochea,0,47,ar,68,-47.8681,-55.3572,54.12,11.43
47,port alfred,0,48,za,96,-38.7482,28.1568,58.98,9.08
48,inhambane,0,49,mz,94,-28.3187,37.442,71.6,6.62
49,richards bay,80,50,za,82,-33.8354,36.4383,64.56,5.06
50,vardo,75,51,no,73,84.8198,37.1784,82.4,3.36
51,cota,40,52,co,67,4.7535,-74.0274,60.8,11.41
52,ribeira grande,40,53,pt,83,38.39,-32.5338,75.2,9.17
53,arraial do cabo,0,54,br,78,-42.3807,-28.5391,75.2,13.87
54,ciocanesti,0,55,ro,61,44.1492,27.1388,78.8,8.05
55,ponta do sol,8,56,cv,68,21.3896,-32.2724,65.91,2.48
56,awbari,0,57,ly,23,25.5889,12.6216,78.6,6.17
57,spassk,24,58,ru,44,52.1596,87.8731,62.76,9.86
58,barrow,0,59,us,53,71.7607,-151.812,57.54,11.43
59,yabelo,64,60,et,95,5.2971,37.8967,61.41,2.15
60,norman wells,75,61,ca,64,61.9284,-125.4261,68.0,14.99
61,rawson,12,62,ar,41,-45.2842,-63.2059,47.1,12.77
62,nsukka,88,63,ng,94,6.734,7.4659,73.11,4.83
63,zaysan,80,64,kz,65,46.817,84.4173,59.52,3.15
64,fortuna,0,65,us,73,37.961,-141.0121,75.2,5.82
65,sitka,0,66,us,59,53.6721,-142.9659,84.0,14.0
66,clyde river,75,67,ca,86,69.4032,-70.0407,37.4,10.29
67,coalcoman,0,68,mx,0,18.8914,-103.3909,0.0,0.0
68,cazaje,0,69,ao,0,-10.9105,20.3412,0.0,0.0
69,taolanaro,0,70,mg,0,-38.1661,52.3951,0.0,0.0
70,vaitupu,0,71,wf,0,-12.1156,-178.5536,0.0,0.0
71,bonthe,92,72,sl,97,2.8582,-15.4758,75.18,5.06
72,hudson bay,0,73,ca,31,52.9386,-102.5167,86.61,5.39
73,hilo,75,74,us,69,8.3361,-147.5613,80.6,3.36
74,aqtobe,0,75,kz,35,50.1842,57.4641,69.8,8.95
75,tuktoyaktuk,75,76,ca,60,78.6084,-132.2094,42.8,6.93
76,east london,0,77,za,100,-67.0594,47.3386,64.38,6.85
77,provideniya,80,78,ru,100,52.5264,-176.9468,36.84,13.33
78,westport,75,79,nz,71,-39.7619,168.7617,51.8,17.22
79,laguna,5,80,br,24,-35.2334,-39.6594,91.4,6.93
80,chagda,0,81,ru,0,57.362,129.3302,0.0,0.0
81,nome,75,82,us,66,67.6143,-162.1406,89.6,14.99
82,mareeba,40,83,au,77,-14.7403,143.2532,59.0,10.29
83,springfield,90,84,us,88,44.182,-122.6038,73.4,13.87
84,labutta,0,85,mm,0,15.4991,92.7266,0.0,0.0
85,port macquarie,75,86,au,93,-32.9883,156.5238,51.8,5.82
86,port elizabeth,20,87,za,58,-70.4275,31.0173,82.4,8.05
87,puerto ayora,20,88,ec,54,-13.2634,-111.2747,84.2,19.46
88,cabedelo,20,89,br,61,-5.7866,-26.9933,80.6,17.22
89,pingzhuang,0,90,cn,0,43.0978,119.9397,0.0,0.0
90,klaksvik,76,91,fo,87,69.8846,-3.6967,46.4,11.41
91,avarua,20,92,ck,69,-16.0977,-161.5834,75.2,8.05
92,skaerbaek,0,93,dk,0,55.0628,8.6059,0.0,0.0
93,hobart,40,94,au,70,-77.0461,144.4995,44.6,3.36
94,anadyr,75,95,ru,76,65.7752,176.2429,48.2,8.95
